,clean_text,airline_sentiment
43,virginamerica unused ticket moved new city fly fly expires travelhelp,1
44,virginamerica flights leaving dallas seattle time feb,1
45,virginamerica elevategold good reason rock,2
46,virginamerica dream http co oa drfaoq http co lwwdac khx,1
47,virginamerica wow blew mind,2
48,virginamerica ladygaga carrieunderwood last night tribute soundofmusic oscars ladygaga think carrieunderwood agree,1
49,virginamerica ladygaga carrieunderwood entertaining,1
50,virginamerica flight way supposed take minutes ago website still shows time flight thanks,1
51,virginamerica ladygaga carrieunderwood julie andrews way though ladygaga impressive carrieunderwood,2
52,virginamerica wish flew atlanta soon,1
53,virginamerica ladygaga carrieunderwood julie andrews hands,1
54,virginamerica flights leaving dallas la february th,1
55,virginamerica hi excited lga gt dal deal trying book since last week amp page never loads thx,0
56,virginamerica know need spotify stat guiltypleasures,2
57,virginamerica ladygaga carrieunderwood lady gaga amazing,2
58,virginamerica ladygaga carrieunderwood carrie,1
59,virginamerica new marketing song https co f lfulcbq let us know think,1
60,virginamerica ladygaga carrieunderwood julie andrews first lady gaga wow last night carrie meh,1
61,virginamerica called weeks ago adding flights elevate still shown help,0
62,virginamerica ladygaga carrieunderwood great go carrieunderwood,1
63,virginamerica ladygaga carrieunderwood sorry mary martin first,1
64,virginamerica ladygaga carrieunderwood love three really beat classics,2
65,virginamerica flight dal dca pm tried check could status please,1
66,virginamerica heyyyy guyyyys trying get hour someone call please,0
67,virginamerica hi virgin hold minutes earlier flights la nyc tonight earlier pm,0
68,virginamerica congrats winning travelzoo award best deals airline us http co kj iljaebv,2
69,virginamerica everything fine lost bag,0
70,virginamerica need change reservation virgin credit card need modify phone waive change fee online,1
71,virginamerica emailed customer service team let know need tracking number,1
72,virginamerica hi booked flight need add baggage,1
73,virginamerica airline awesome lax loft needs step game dirty tables floors http co hy vrfhjht,0
74,virginamerica worried great ride new plane great crew airlines like,2
75,virginamerica awesome flew yall sat morning way correct bill,2
76,virginamerica watch best student films country feet cmfat feet http co kek pdmgif,1
77,virginamerica first time flying different rate policy media bags thanks,1
78,virginamerica going customer service anyway speak human asap thank,0
79,virginamerica happened doom,1
80,virginamerica supp biz traveler like southwestair customer service like jetblue neverflyvirginforbusiness,0
81,virginamerica applied member inflight crew team im interested flightattendant dreampath g,2
82,virginamerica best whenever begrudgingly use airline delayed late flight,0
83,virginamerica interesting flying cancelled flight next four flights planned neverflyvirginforbusiness,0
84,virginamerica disappointing experience shared every business traveler meet neverflyvirgin,0
85,virginamerica trouble adding flight wife booked elevate account help http co px hqoks r,0
86,virginamerica bring reservation online using flight booking problems code,1
87,virginamerica random q distribution elevate avatars bet kitty disproportionate share http co aptzpurop,1
88,virginamerica lt flying va life happens trying change trip jperhi help va home page let,1
89,virginamerica site back,0
90,virginamerica rnp yeah know,1
91,virginamerica hi get points elevate account recent flight add flight points account,1
92,virginamerica like tv interesting video disappointed cancelled flightled flight flights went jfk saturday,0
93,virginamerica landed lax hour late flight bag check business travel friendly nomorevirgin,0
94,virginamerica flight redirected,1
95,virginamerica website btw new website great user experience time another redesign,0
96,virginamerica check add bag website working tried desktop mobile http co avyqdmpi,0
97,virginamerica let scanned passengers leave plane told someone remove bag st class bin uncomfortable,0
98,virginamerica phone number find call flight reservation,0
99,virginamerica anyone anything today website useless one answering phone,0
100,virginamerica trying add boy prince ressie sf thursday virginamerica lax http co gsb j c gm,1
101,virginamerica must traveler miss flight late flight check bag missed morning appointments lost business sfo lax,0
102,virginamerica check new music http co marcnocwzn,1
103,virginamerica direct flight fll gt sfo unexpected layover vegas fuel yet peeps next bought vegas flight sneaky,0
104,virginamerica late flight bag check lost business missed flight apt three people flight exp,0
105,virginamerica amazing customer service raeann sf best customerservice virginamerica flying,2
106,virginamerica called service line hung awesome sarcasm,0
107,virginamerica site tripping trying check getting plain text version reluctant enter card info,0
108,virginamerica scheduled sfo dal flight today changed th due weather looks like flight still,1
109,virginamerica getaway deals may one way lots cool cities http co tzzjhuibch cheapflights farecompare,2
110,virginamerica getaway deals may one way lots cool cities http co rpdbpx wnd cheapflights farecompare,1
111,virginamerica getaway deals may one way lots cool cities http co b xi yg cheapflights farecompare,2
112,virginamerica getaway deals may one way lots cool cities http co qdljhsloi cheapflights farecompare,1
113,virginamerica great week,2
114,virginamerica come back phl already need take us horrible cold pleasecomeback http co glxfwp nqh,2
115,virginamerica concerned fly plane needs delayed due tech stop,0
116,virginamerica best airline flown easy change reservation helpful representatives amp comfortable flying experience,2
117,virginamerica another rep kicked butt naelah represents team beautifully thank,2
118,virginamerica beautiful front end design right cool still book ticket b c back end secure,2
119,virginamerica love team running gate e las tonight waited delayed flight kept things entertaining,2
120,virginamerica use another browser amp brand reputation built tech response cross browser compatible website,0
121,virginamerica flight flight booking problems site totally folks problem,0
122,virginamerica like customer service min delay connecting passengers seems long va,0
123,virginamerica thanks outstanding nyc jfk crew moved mountains get home san francisco tonight,2
124,virginamerica absolute best team customer service ever every time fly delighted thank,2
125,virginamerica provide complimentary upgrades first class available seats,1
126,virginamerica need change flight thats scheduled hours min wait time phone im calling intern help,0
127,virginamerica completely awesome experience last month bos las nonstop thanks awesome flight depart time vabeatsjblue,2
128,virginamerica watch oscars jfk gt sfo flight,1
129,virginamerica flight cancelled flightled,1
130,virginamerica failing customers check process link tsa pre check,0
131,virginamerica fidifamilies us terrible airline gave us hotel hotline number said sorry,0
132,virginamerica flight number sfo cabo san lucas arrived yet,1
133,virginamerica chrysichrysic assistance yesterday u cancelled flightled flight give us hotel hotline shame,0
134,virginamerica another delayed flight likingyoulessandless,0
135,virginamerica need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise,0
136,virginamerica rock making watch oscars flight redcarpet oscars oscars,2
137,virginamerica reallytallchris dropped track https co zv pt trk,1
138,virginamerica always xoxo,2
139,virginamerica book seats flights buy even check creates much anxiety frustrated,0
140,virginamerica think paying extra bucks rt luggage might afford hiring extra hand sfo lame,0
141,virginamerica best customer service rep world irmafromdallas takes cake,2
142,virginamerica find us flt lax sooner midnight monday would great customer service,1
143,virginamerica please provide status flight cant imagine time web indicates dude weather dallas,0
144,virginamerica amazing staff amp super helpful ran waltdisneyworld princesshalf spoiled comfort,2
145,virginamerica paid premium fly across country cancelled flight flight offer check fee upgrade love sad face,0
146,virginamerica question possible book seat infant giving option want seat,0
147,always together welcome rt virginamerica jessicajaymes welcome,2
148,virginamerica flight home dc sunset globe backtowinter back work refreshed http co vx vbctdlf,2
149,virginamerica understand need dm give answer damaged luggage policy,0
150,virginamerica mean policy destroyed luggage,0
151,virginamerica special assistance travel alone w kids infant priority boarding,1
152,virginamerica thank checking tickets purchased customer happy,2
153,virginamerica website ever coming back online,1
154,virginamerica flight love field sfo definitely cancelled flightled monday february,1
155,virginamerica flight lga dfw time,1
156,virginamerica drivers license expired little month fly friday morning using expired license,1
157,virginamerica problems flight booking problems web site keeps giving error contact phone phone minute wait,0
158,virginamerica reschedule cancelled flightled flights online change button greyed,0
159,virginamerica rang wait minutes book ticket vendor fix site,0
160,virginamerica got flight told today checked email tomorrow unacceptable,0
161,virginamerica flight lga cancelled flighted stuck dallas called reschedule told could get flight today,0
162,virginamerica pairings include red wine white offered redwineisbetter,0
163,virginamerica website,0
164,virginamerica site seems little wonked right may want look tried two browsers css http co qsqmm kf,0
165,virginamerica disappointed agent designated silver status check line dulles airport closed assist pasengers,0
166,virginamerica plans include austin dallas route topnews arab emirates http co aqzwecokk,1
167,virginamerica normal receive reply central baggage baggageissues smh,0
168,virginamerica logan airport waiting checkin flight checkin desk open,0
169,virginamerica jump dallas austin market dallas news http co ewwgi gdx,1
170,virginamerica beats eps views takes southwestair va luv investor business daily http co flwmgdahxu,1
171,virginamerica lister show monday,1
172,virginamerica begin dallas austin flights april ketr http co ssuvwwkyhh,1
173,virginamerica congrats got business ewr sfo lax fuck united fl sfo ewr clincher,0
174,virginamerica applied weeks ago heard back flying week disappointed,0
175,virginamerica love know policy damaged luggage,1
176,virginamerica thank follow,2
177,virginamerica many apologies r worse airlines even respond cudtomers,0
178,virginamerica shame va making people spend money stranded cities airlines landing jfk reimburse,0
179,virginamerica ttinac dm,1
180,virginamerica please flights sjc choice fly southwest vegas,1
181,virginamerica bad say takes days via confirmation email inquired weeks claim weeks,0
182,virginamerica flight bos gt las tomorrow cancelled flightled notification wait times hour rebook another airline,0
183,rt virginamerica met match got status another airline upgrade restr http co rhkamx vf http co pyalebgkjt,2
184,virginamerica way fly elevate gold,2
185,virginamerica guys flights cmh,1
186,virginamerica lot apologies thrown customers see sad thanks nothing worst airline ever,0
187,virginamerica flight stuff wrong nothing worst flight ever,0
188,virginamerica issue finding missing item plane help find airport plane headed next,1
189,virginamerica match americanairlines status cool,2
190,virginamerica met match got status another airline upgrade http co h rdktqy asarco es ar,1
191,virginamerica trying book flight guys website let lose business,0
192,virginamerica suck,0
193,virginamerica thanks,2
194,virginamerica dm issue persisting,0
195,virginamerica never rec cancelled flightlation notice left w options fly ps driving la red eye mon w kids,0
196,virginamerica trying book flight amp site,0
197,virginamerica flights flying boston tomorrow need home cancelled flightled flight anything,0
198,virginamerica stink flight cancelled flighted psp jfk notification ability rebook disappointed expected better,0
199,virginamerica love guy song dancing high school dance revue,2
200,virginamerica website trying check,0
201,virginamerica done thank quick response apparently faster sitting hold,2
202,virginamerica nervous flight dc lax getting cancelled flightled tomorrow sent dm help,1
203,virginamerica cool picture another virginamerica plane wing site http co b agfd c,2
204,virginamerica keep great work,2
205,virginamerica goodness people love field amazing pressure texas beatstheothers crisis please fly ny,2
206,virginamerica thanks great flight la boston pilots great job landing snow go back la seriously,2
207,virginamerica please get new york area monday afternoon,1
208,virginamerica thanks much awesome support guys rock,2
209,virginamerica seats row recline mention website soreback,0
210,virginamerica flight delayed hours la due mechanical problems handle like pros could tossed us free drink,0
211,virginamerica cancelled flight flights today precipitation scared,0
212,virginamerica twitter team guys killed rescheduling asap thank,2
213,virginamerica guys charged reschedule flight cancelled flighted refusing refund deal,0
214,virginamerica access website safari iphone seems work mac ipad need iphone add passbook,0
215,virginamerica ipad iphone clicking checkin link email received hrs flight,1
216,virginamerica mobile site broken shows header elevateuser numofpointsavailable number points let checkin,0
217,virginamerica really looking forward flight let know rescheduled diehardvirgin,0
218,virginamerica cancelled flight flight vx one sec delayed airport next cancelled flightled gonna email call reschedule,0
219,virginamerica problem link email check thanks,0
220,virginamerica change another airline get dc today united able land dc cost ugh,0
221,virginamerica looking forward first flight today cancelled flightled along subsequent one,0
222,virginamerica putting great deals pdx las las pdx show love http co eniqg buzj,2
223,virginamerica wish afford fly next friday going back home love everything airline,2
224,virginamerica gonna deal dallas dc deal dc dallas sad,0
225,virginamerica bug report guys,1
226,virginamerica hold times call center bit much,0
227,virginamerica like http co vpqem xuq,2
228,virginamerica site help,0
229,virginamerica best flight attendant ever http co pxdel nq l,2
230,awesome rt virginamerica watch nominated films feet meetthefleet oscars http co dnstitrzwy,2
231,virginamerica thanks much,2
232,virginamerica trying reset password email never arrives help,0
233,virginamerica airline based silicon valley disruption fcmostinnovative incubator fastcompany http co wu lbcncr,2
234,virginamerica nicely done,2
235,virginamerica looking forward watching oscars flight home tomorrow might even get something bubbly drink,2
236,virginamerica reason delay departure vx jfk afternoon,0
237,virginamerica todays flight palm springs ca jfk ny cancelled flightled,0
238,virginamerica hahaha virginamerica guys amazing love guys,2
239,virginamerica sounds like fun,2
240,virginamerica updates flight jfk gt lax,1
241,virginamerica spruce moose,1
242,virginamerica css site right please fix site unusable,0
243,virginamerica flight vegas boston today checked online bag count register fix somehow,0
244,virginamerica classiq luv virgin america greetingz,2
245,virginamerica hi trying check website working tried different browsers problem continues,0
246,virginamerica thanks great customer service today amp helping get travel sorted,2
247,virginamerica thanks guys sweet route rockies airplanemodewason,2
248,virginamerica love music blasting gate boston waiting flight sanfrancisco could get iced coffee,2
249,virginamerica passenger flt assaulted flown trust banned crew filed report faanews,0
250,virginamerica current bug website shows select departure city selecting destination city http co sllyibe vq,0
251,virginamerica luggage severely dented missing wheel coming baggage claim san luggage agent miranda think help,0
252,virginamerica thank easy itinerary shift impending weather quick painless amp free,2
253,virginamerica love see girls inspired become pilots rt free woaw event march abq http co rfxlv kgdh,1
254,virginamerica thanks good times back vodkatonics entire flight sfo,2
255,virginamerica beats expectations shares take santa cruz sentinel http co qm dqbai g,1
256,virginamerica plans start flying direct dal las,1
257,virginamerica big love gratitude mpower w http co agr kncpf werin oscars vipswagbags avalonhollywood http co ybmbgs dhn,1
258,virginamerica great job adding little luxuries aesthetics improve air travel experience thank keep,2
259,virginamerica requested window seat confirmed window got stuck middle seat good way treat silver member,0
260,virginamerica grand budapest hotel oscarscountdown,1
261,virginamerica missed newsvp next trip,1
262,virginamerica wtf paid direct flight purpose stop fuel exhausted frequent flier nothing inconvenience,0
263,virginamerica something wrong website safari iphone,0
264,virginamerica thanks gate checking baggage full flight dfw lax giving early boarding sweet,2
265,virginamerica already checked page expired x,0
266,virginamerica boo refunding seat upgrade fee want buy first place,0
267,virginamerica shares rise q financial results usa today http co lfs pefe,1
268,virginamerica adds pillows instead lie flat seats first class arms race http co rgywjbbhm,1
269,virginamerica see,2
270,virginamerica way take advantage mayweatherpacquiao,1
271,virginamerica know flying virgin fight mayweatherpacquiao,1
272,virginamerica inflight team makes experience amazing,2
273,virginamerica cutest salt pepper shaker ever think guys get better http co vc keulg j,2
274,virginamerica moved seat notice better seat cabin select behind row selected disappointed,0
275,virginamerica shares q results iol http co xz qeg nef,1
276,virginamerica fav airline,2
277,virginamerica hot female pilot sweet dca sfo,2
278,guys going start flying paris virginamerica lizautter welcome,1
279,virginamerica policy flying surgery still waiting answer tell doctor,1
280,virginamerica already contacted central baggage amp sent dm renttherunway charging dress lost suitcase help,0
281,virginamerica thank,2
282,virginamerica anything going website getting lot errors past minutes,0
283,virginamerica think left something plane yesterday call ah,1
284,virginamerica need follow back order dm,1
285,virginamerica need start flying kciairport,1
286,virginamerica told check airline regulation first contacted,1
287,virginamerica virginatlantic checked flight sfo lax amp told atlantic flying club gold get benefits,0
288,virginamerica husband ordered three drinks via screen never came awesome,0
289,virginamerica soooo guys going leave seatbelt light flight barely call turbulence,0
290,virginamerica policy flying surgery,1
291,virginamerica posts second consecutive full year net profit atwonline http co tvb zbzvhg,1
292,virginamerica funny story website broken missing javascript stylesheets checkin process dislike,0
293,virginamerica would love virgin like gopro,2
294,virginamerica results handily exceed forecasts nytimes http co gonmrwem,1
295,virginamerica applied position flylaxairport wondering guys received application,1
296,virginamerica achieves second year profitability despite revenue pressure capa aviation http co zsuztnaijq,1
297,virginamerica gives positive outlook sees increased competition reuters http co jeu od eyj,1
298,virginamerica trying check ct flight tmm desktop website working sort caching bug sos,0
299,virginamerica weather delays gt next weeks jfk bos dca,1
300,virginamerica madbee check website go airport,1
301,virginamerica guys know check links emails broken http co npxb obmr,0
302,virginamerica pilot says expect choppy landing nyc due gusty winds w temperature degrees amp w windchill,1
303,virginamerica loved wait monday return flight mostly watch inflight safety video sorrynotsorry,2
304,virginamerica lost luggage days ago flight vx lax iad amp calling every day response please give back stuff,0
305,virginamerica flight booking problems section website seems broken chrome might wanna look,0
306,virginamerica hi wanted see new routes planned year newark love flying guys hope,2
307,virginamerica mean probably inappropriate board,2
308,virginamerica happy spend day together let,2
309,virginamerica saving sanity right http co eltboljul,1
310,virginamerica missed flight standby work,1
311,virginamerica understanding helped thx comps,2
312,virginamerica brought way across country today see http co tkauygcpms,1
313,virginamerica thank absolutely,2
314,virginamerica looks like broken link assets https co oardjjgrrd,0
315,virginamerica ready let say together noooo turbulence today,1
316,virginamerica manage itinerary section website seems broken https co pujvcelng,0
317,virginamerica check site looks like every time loads http co kacy awdbw,0
318,virginamerica u help freyabevan fund needs urgent treatment old battling cancer could u help flights freyasfund,1
319,virginamerica may start service hawaii sanfrancisco year http co ypo nyprzl biztravel,1
320,virginamerica carriers less half price round trip fare stunned http co ukdjjijrow,0
321,virginamerica wtf happening pdx late flight march one way sfo,0
322,virginamerica add dtw sold,1
323,virginamerica free drinks flight back free promo,2
324,virginamerica ssal thanks,2
325,virginamerica momma made,1
326,virginamerica please contact portfolio left flight vx jfk sfo tonite seat need returned call,1
327,virginamerica help flight jkf tonight seat c left portfolio need back,1
328,virginamerica shrinerack seattle bound wifey got duffle vday keeper holla http co jloiblnair,1
329,virginamerica luggage gone filed paperwork promised call email still resolution response central luggage,0
330,virginamerica debbie baldwin gave rockstar performance safety demo evening vx las sfo bestcrew sherocks,1
331,virginamerica thanks,2
332,virginamerica thanks taking care suuperg flight rockstars travel,2
333,virginamerica thanks lovely soft views travel san sfo http co cnctl g ef,2
334,virginamerica requested mileage challenge status several weeks ago online heard back get help,0
335,virginamerica trying book tickets nyc facing super fun broken styling worry keep trying,0
336,virginamerica many thanks follow ourprincess freyasfund usa bandie looking help http co ujfs zi kd,1
337,virginamerica nice lofty view flylaxairport silverstatus http co f tp dawbd,1
338,virginamerica applied status match feb got confirmation email day still news though guys dropped ball late flightly,0
339,virginamerica new go airline,1
340,virginamerica virginatlantic gma americanair help ourprincess need help usa http co aztdaer,1
341,virginamerica adore looking forward flight austin two weeks,2
342,virginamerica glad mentioned took first virgin flight years back transformative experience,2
343,virginamerica flight booking problems flight uphold status match taxes ticket count earned status points statusmatch virginamerica,1
344,virginamerica trying check looks like site,0
345,virginamerica spending birthday night dal dca get home,0
346,virginamerica sent couple messages email provided avail try next year cheers,0
347,virginamerica first time flying virgin went sanfrancisco thanks smooth ride easily new fav airline,2
348,virginamerica seriously though direct flights sfo fll may,0
349,virginamerica fine already done purchase try go way go back,0
350,virginamerica really experience hoping ws forced check small carry w nothing empty cabin space board,0
351,virginamerica wjere luggage slow lax,0
352,virginamerica jump dallas austin market http co szr pioa,1
353,virginamerica spoke representative offered solution loyal customer flies virginatlantic well,0
354,virginamerica deeply disappointed birthday promo applied trip booked mere days received email,0
355,virginamerica happened direct flights sfo fll looking may see connecting help dontdothistome,0
356,virginamerica help left blazer kooples jacket bag rd row second seat right gate lax flight sfo,1
357,virginamerica partners visa checkout mobile payment method help boost mobile conversion rates etailwest payments visa,1
358,virginamerica promoting product problem southwest recommend noneother best http co tfanxbh cf,2
359,virginamerica love guys pls get direct routes las aus,2
360,virginamerica would like help flights please,1
361,bruh virginamerica giannilee turn vxsafetydance,1
362,virginamerica course work virginatlantic obsessed entire virgin family,2
363,virginamerica ok first time flying tonight,2
364,virginamerica digging swanky pink mood lighting flight nyc sfo needs cabaret singer think,1
365,virginamerica done need receipt asap could please help,1
366,virginamerica embossed badges patches superior ones currently using http co fq xelbon,0
367,virginamerica vx jfk la dirty plane standards,0
368,virginamerica flight vx headed la jfk dirtiest va plane ever sad great airline,0
369,virginamerica got squared away someone picked soon tweeted tweeted sooner,2
370,virginamerica avis rental continue button work website book car tried times phone sucks,0
371,virginamerica delayed,0
372,virginamerica currently minute hold cust service need anything add lap child reservation,0
373,virginamerica adds pillows instead lie flat seats first class arms race http co sfjduahx z skift,1
374,virginamerica karinslee course fun celebrating thanks happy chinese new year,2
375,virginamerica flight booking problems last second flight next week sfo san chance want gift promo code since love guys,2
376,virginamerica comenity bank joke please change nothing constant problems bank,0
377,virginamerica dm u also add,1
378,virginamerica grandma ella th would lt bday greeting flight crew stewardess eastern airlines,2
379,virginamerica bought tix atx dallas route thanks adding love yr airline amp yr website best transactional site ever,2
380,virginamerica anytime sugafly,1
381,virginamerica gave credit late flight flight yesterday great service wow moment unexpected gesture,2
382,virginamerica need receipt flight change send one,1
383,virginamerica submitted status match request back still heard flying monday look accelerate,0
384,virginamerica safety video http co cqmm nue loved first cross country flight livewelltraveled sytycd,2
385,virginamerica look fat looks yummy,2
386,virginamerica ceo says southwest amp jetblue strayed low cost model http co sctomh,1
387,virginamerica brilliant brisk boston cue vx http co rmznivgmg,1
388,virginamerica atlantic ploughs lone furrow middleeast http co fvudmh pf thenationaluae,1
389,virginamerica atlantic ploughs lone furrow middleeast http co dcobokn ee thenationaluae,1
390,virginamerica atlantic ploughs lone furrow middleeast http co vw p tlh thenationaluae,1
391,virginamerica omg omg nonstop dallas austin virgin,2
392,virginamerica planes really pretty thought u know,2
393,virginamerica flying hawaii,1
394,virginamerica pulling hair trying book flight u site work iphone ipad computer help,0
395,virginamerica thank,2
396,virginamerica get help support ticket days incident thank,0
397,virginamerica good home texas moodlighting http co n bvzty zi,2
398,virginamerica cannot even open laptop seat c paid premium let,0
399,virginamerica seat c cannot even open laptop paid extra seat,0
400,virginamerica guys starting flights end month guess still road tripping feb,1
401,virginamerica thanks needing way make austin trips dca come,2
402,virginamerica announced new route austin w fares way http co ga pbamu c,1
403,virginamerica really sprint thought guys kewl,1
404,virginamerica cool never ur planes,2
405,virginamerica dollar lax las fares,1
406,virginamerica great well deserved,2
407,virginamerica fyi info virginamerica com email address say contact password reset emails exist emails bounce,0
408,virginamerica status match weeks gone news flt next week hope flt count towards requirement cust svc help,0
409,virginamerica website sucks donkey dicks thought know best,0
410,virginamerica still develop app favorite airline,1
411,virginamerica crap channels pay watch uk tv,0
412,virginamerica got set thanks,2
413,virginamerica channel year,1
414,virginamerica thing see passbook virgin mobile mexico integrate,1
415,virginamerica giants virgin america match made heaven,2
416,virginamerica thank goodness also see friday nwk gt sf boom,2
417,virginamerica come iphone app still using making waste paper,0
418,virginamerica back seat entertainment system accept credit cards apostrophe surname apostrophefail,0
419,virginamerica vx use lga slots instead today adding aus makes less likely,0
420,virginamerica helping step tinder game tindertips tinderchamp http co jbmvvha,1
421,virginamerica luv ur people product thing u charge herbal tea black tea caffeine drinker,2
422,virginamerica thank see soon excited see expansion destinations spread wings,2
423,virginamerica announces new nonstop connecting austinairport amp dallaslovefield intro http co qxnoaqtyn http co jk qmdfqgf,1
424,virginamerica adds austin dallas love field route http co xwjol flh http co aormfkac,1
425,virginamerica sad learn longer fly sfo gt phl hope returns,0
426,virginamerica tweet cancelled flight chng fee flight rebook one affiliates afiliates,1
427,virginamerica incredible customer service ever experienced refreshing,2
428,virginamerica see virginamerica come philadelphia phl,1
429,virginamerica dreaming really open route dallas austin mean houston might next,2
430,virginamerica omg finally,2
431,virginamerica start xweekly flights dallas dallaslovefield austin apr avgeek,1
432,virginamerica nice see expanding texas forget us sandiego would love see flights,1
433,virginamerica kinda sucked earphone jack work flight may want look future passengers,0
434,virginamerica poor experience first computer problem seat malfunction stuck missing meeting san diego,0
435,virginamerica battle southwestair dallaslovefield austinairport route http co rlz ebk x via usatoday,1
436,virginamerica thankyou dal aus route makes day,2
437,virginamerica awesome deals dal aus way https co xcvqxykg,2
438,virginamerica miss nerdbird san jose,1
439,virginamerica love taking southwestair backyard consumers win biz competes,2
440,virginamerica flying love austin excellent news,2
441,virginamerica make every vx plane nerdbird austin one getting nerd love,1
442,virginamerica please add frequency pdx portland,1
443,virginamerica congrats vx new route,2
444,virginamerica tried offered charge additional k new ticket stranded thurs st time last time,0
445,virginamerica americanair u help flights get old battling cancer needs treatment freyabevan fund,1
446,virginamerica never bad experience one took cake extortion carry items well,0
447,virginamerica spend hours worrying items carryon would broken stolen since carry plane lock bag,0
448,virginamerica group e told room bins got plane room least bags row,0
449,virginamerica thanks making flight lax jfk nightmare forcing check carry bag gate,0
450,virginamerica lots flights book site working phone waiting minutes,0
451,virginamerica flight artisanal cheese wine pairing,2
452,virginamerica virgin america fly direct seattle nyc boston,1
453,virginamerica classy,2
454,virginamerica sure lot jfk lhr flights go lot faster mph strong tailwind,2
455,virginamerica minus minutes elevate silver upgrade window opens freeneversucks,2
456,virginamerica save tomorrow,1
457,virginamerica taking years fly home dallas get shit together,0
458,virginamerica jezziegoldz club virgin bumping new york http co haqc gdg c,1
459,virginamerica jezziegoldz would rough trip luckily virginamerica flight weather,2
460,virginamerica thestarter,1
461,virginamerica please come minneapolis st paul,1
462,virginamerica yes fyi bff,1
463,virginamerica another perfect flight come planes sun visors stay carriers make raise,2
464,nice rt virginamerica man steel might faster wifi saying sciencebehindtheexperience http co fgrbpazsix,2
465,virginamerica love dancing little richard cool beans,2
466,virginamerica use passbook still love though lt use email future,2
467,virginamerica thanks free birthday points right,2
468,virginamerica application ios looking saw virgin mexico lt,1
469,virginamerica man steel flies cities though frequency,0
470,virginamerica thanks much sharing added site http co tsvibtvt h,2
471,virginamerica good point,1
472,virginamerica heard virgin mobile hotspot,1
473,virginamerica got cheese plate flights,1
474,virginamerica flights,1
475,virginamerica dad segway best part whole infographic,2
476,virginamerica plans short haul airline europe would defiantly fly guys,2
477,virginamerica wifi better seating,2
478,virginamerica come abc one network channels,1
479,virginamerica started flight scolding using overhead bin offered person seated next,0
480,virginamerica great return calls day ask myvxexperience,2
481,virginamerica airlines cancelled flighting flights bos helping customers get home virgin saying good luck,0
482,virginamerica dear virgin customer stranded sf days amp cost least accommodate,1
483,virginamerica use next airline commercial lol http co pxexilsjbs,1
484,virginamerica grouping virgin others bos weather exposed actual cus serv model never flight booking problems virgin,0
485,virginamerica one travelers affected boston storm shocked virgin complete apathy toward customers,0
486,virginamerica umm reason someone different contact contact get definitive answer,0
487,virginamerica trying make change advance hours prior tried online earlier wanted change fees,0
488,virginamerica loyal driving nyc pa fly virgin since cut philly flights,2
489,virginamerica way change main cabin main cabin select flight without paying change fee penalty,1
490,virginamerica guys perfect always lt wervirgin,2
491,virginamerica thanks best customer service left industry,2
492,virginamerica give silver status months,1
